"consumer product","What can be used to hear music, when you are travelling for long hours?"
"consumer product","What is the best selling single cup coffee maker?"
"consumer product","What product can be used to remove grease from clothing?"
"consumer product","What is the name of Microsoft's video game console?"
"human body part","Where in the human body is the largest concentration of muscles?"
"human body part","Where is the Achilles tendon?"
"human body part","Which organ helps you to see?"
"human body part","What is the name of the part of your body that connects your foot to your leg?"
"human body part","Where would you get a plantar's wart?"
"historical event","In which event do different countries from all over the world take part in various sports?"
"historical event","What was the deadliest battle of the Civil War?"
"historical event","What attack happened on American soil?"
"historical event","Where did Admiral Lord Nelson defeat Napoleon?"
"a temperature","How high was the patient's fever?"
"a temperature","What is the thermostat in your home set to?"
"a temperature","How cold did the weatherman say it would get tonight?"
"a temperature","At what point does water freeze?"
"a temperature","What's the coldest water you've ever been swimming in?"
"a temperature","What is the minimum warmth that the dishwasher instructions say the water entering during the wash cycle must be?"
"a temperature","How hot does reheated food need to get to ensure that it is safe to eat?"
"a temperature","At what point does water boil at altitudes considered very high?"
ordinal,"Which standard your son is studying?"
ordinal,"How Mrs president of America is known?"
ordinal,"Among the three winners who won the glod medal?"
ordinal,"what comes between one & three?"
ordinal,"How many apples will be left out if you ate three from five apples?"
ordinal,"How many children do you have?"
ordinal,"which priority will be given for food by all the living beings?"
ordinal,"Which rank your daughter scored in her final exam?"
ordinal,"What base does David Ortiz play?"
ordinal,"What base does A-Rod play?"
ordinal,"What place gets a gold medal?"
ordinal,"What place gets a silver medal?"
ordinal,"What place gets a bronze medal?"
ordinal,"What place do you come in if you beat everyone else?"
ordinal,"What place do you come in if you beat everyone but one person?"
ordinal,"What place do you come in if you beat everyone but two people?"
"phone number","How can someone contact you?"
"phone number","What is a good way to call a business?"
"phone number","What is the last thing you used to contact someone?"
"phone number","What does the # symbol mean?"
"phone number","If I asked for your number, what do I mean?"
"phone number","What do you find on a business card?"
"phone number","What is listed in the yellow pages?"
"phone number","What is the ISD code for UK to dail in from India?"
"phone number","What is the ISD code for USA to dail in from India?"
"phone number","What is the contact number for London Eye phone booking?"
"phone number","What is the contact number for Madame Tussaud phone booking?"
"phone number","What is the helpline for emergency services in UK?"
"phone number","What is the helpline for emergency services in USA?"
"phone number","What is the emergency Police held number in India?"
"phone number","What is the ISD code for Canada to dail in from India?"
"phone number","what is an emergency number?"
"phone number","what is the number of information website?"
"phone number","What is the phone date book number?"
"phone number","what is the blood bank Number?"
"phone number","what is the number for contact information"
"phone number","What is the number of your bank?"
count,"How many games are in a baseball season?"
count,"How many seconds are in a minute?"
count,"How many cups in a quart?"
count,"How many ounces in a pound?"
count,"How many inches are in a foot?"
count,"How many movies are made from Stephen King books?"
count,"How many fingers on one hand?"
count,"How many colors in a rainbow?"
count,"How many players are allowed on a professional baseball team at one time?"
count,"How many Stanley Cups have the Detroit Red Wings won?"
count,"How many Harry Potter books are there?"
count,"How many books has Stephen King written?"
count,"How many games does an NFL team play in one season?"
count,"How many planets are there?"
count,"How many Lord of the Rings books are there?"
count,"How many moons does Jupiter have?"
count,"How many hot dogs can a average human being eat?"
count,"How many runs are made by Sachin Tendulkar in his test series?"
count,"How many Bananas can a monkey eat in one day?"
count,"How many tigers are there in India?"
count,"How many planets rotate on their own axis's?"
count,"How many languages can be learned by a average Human being?"
count,"How many religions are there in India compared to the USA?"
count,"How many states are there in India?"
,"what is the distance of your school from your house?"
,"How long you have walk to reach the hospital?"
,"Is the bus stop is near to your office?"
,"How far is  your Inlaws' place?"
,"Where do your grandparents stay far or near?"
,"What is the distance for the marathon?"
,"what is the destination for the cycle race?"
,"For how long you have to walk to reach the capel?"
,"How far is Jupiter from Venus?"
,"How far is Mars from Earth?"
,"How far is Agra from Delhi to visit Taj Mahal in India?"
,"How far is London Eye from Cholchester Zoo in UK?"
,"How far is Canada from India?"
,"How far is Moon from Earth?"
,"How far is Liverpool Station from Wimbledon Station?"
,"How far is USA by Cruise?"
,"what is the name of instrument used to record high temperature from great distance ?"
,"what is the distance from the Sun to the Mars ?"
,"what is the name of instrument used to measure the distance covered by a vehicle ?"
,"what is the average distance from the Earth to the Moon?"
,"What is the unit of measurement of the distance of stars from the earth?"
,"How much of the surface of the Moon is visible from the earth?"
,"what is the distance around the earth at the equator?"
,"how far is the earth from the Jupiter?"
,"How much does an iPhone 5 cost?"
,"How much does an Xbox 360 cost?"
,"How much does a Nintendo Wii cost?"
,"How much does a Big Mac meal cost?"
,"How much does a Playstation 3 cost?"
,"How much does an iPad cost?"
,"How much did the movie Titanic cost to make?"
,"How much does a Samsung Galaxy 3 cost?"
,"How much does an average new car cost?"
,"How much is a bottle of soda?"
,"How much is a box of Oranges?"
,"How much is it for a new pair of shoes?"
,"How much is it for a boob job?"
,"How much is it for a four year college degree?"
,"How much does a wedding cost?"
,"How much does it cost to print a resume?"
,"how much does an Mac Book cost?"
,"how much does an LED cost?"
,"how much does an iPad cost?"
,"How big is the Sun?"
,"How big is Canada?"
,"How big is North America?"
,"How big is Europe?"
,"How big is an NHL ice rink?"
,"How big is an NFL football field?"
,"How big is Brazil?"
,"How big is Antarctica?"
,"How big is USA compared to Russia?"
,"What is the size of a passport photo?"
,"What is the size of a A4 paper?"
,"what is the size of a post card?"
,"what is the volume of a cube?"
,"What is the volume of a cone?"
,"How big is India compared to UK?"
,"How big is Jupiter compared to Earth?"
,"How big is Earth?"
,"How small is an atom?"
,"What's the tallest person's height?"
,"What does a coke bottle weigh?"
,"How much can a milk jug hold?"
,"How far is Rhode Island from Martha's Vineyard?"
,"What is your shoe size?"
,"How deep is the ocean?"
,"How hot is cuba?"
,"How hot is australia?"
,"How hot is Texas?"
,"How hot is Mars?"
,"How hot is the moon?"
,"How hot is the ocean floor?"
,"How hot is Alaska?"
,"How hot is room temperature?"
,"How significant was the patient's fever?"
,"What is the t"
,"What is the hottest air temperature ever recorded on earth?"
,"What are normal body parameters?"
,"How cold is zero degrees kelvin?"
,"What is the temperature on the planet Jupiter?"
,"What is the scientific name for temperature?"
,"What is the minimum safe water temperature?"
,"What is chocolates melting point?"
,"What is the hottest temperature ever recorded in the universe?"
,"what is the top speed of a Ferrari on road?"
,"At what speed can a cruise travel on water?"
,"what travels the fastest light or sound?"
,"What is the download speed when using a broadband?"
,"what is the speed of a Tube Train in UK?"
,"What is the speed limit on UK highways?"
,"What is the minimum speed a any vehicle?"
,"what is the speed of a shooting star?"
,"How fast does a Porsche go?"
,"How fast does a Shelby Cobra go?"
,"How fast does a Lamborghini go?"
,"How fast does a Ferrari Enzo go?"
,"How fast does a turtle go?"
,"How fast does a rabbit go?"
,"How fast does grass grow?"
,"How fast does the earth rotate?"
,"In which speed the light travels?"
,"what is limit to drive in a highway?"
,"What is the speed of a cheeta?"
,"what is the speed of your internet connection?"
,"what is the speed of Acele express?"
,"By which you can measure your inctenet connection parameters?"
,"which is the American action- thriller film directed by Jan de Bont in 1994?"
,"Which post is applicable to receive our mail wihtin two days?"
,"How long is World’s Largest Indoor Swimming Pool Alberta, Canada?"
,"How long is world’s Longest Cross Sea Bridge Donghai Bridge, China?"
,"Which is the longest river in the world?"
,"Which animal has longest neck?"
,"How long is Suez canal?"
,"Longest railway line in the world?"
,"Name the animal have the longest tail?"
,"How long is Great Wall of China?"
,"What is a century?"
,"How long is an average movie?"
,"What does 60 minutes add up to?"
,"How long does it take to drive from Los Angeles to San Francisco?"
,"How long does a school year last?"
,"How long does it take for the Earth to relvove one complete turn?"
,"How long does a blink last?"
,"What is the Olympic record for running 100 meters?"
,"How long does the average person live?"
,"How long ago did the Titanic sink?"
,"How many seconds are in an hour?"
,"When is the last time a hurricane hit Cuba?"
,"How long is the average phone call?"
,"How many pages are in the average book?"
,"How long does the average survey take?"
,"How long does it take to hit puberty?"
,"What percent of people own a car?"
,"What percent of people know how to drive?"
,"What percent of people can ride a bike?"
,"What percent of people work third shift?"
,"What percent of people know how to swim?"
,"What percent of people are white?"
,"What percent of people are black?"
,"What percent of people speak a second language?"
,"what is the percentage of irrigated land in India?"
,"how many percentage required in graduation for upsc exam?"
,"What percentage of urban population live in class I cities?"
,"What percentage of world land area is there in India?"
,"What percentage of the world population live in India?"
,"What is the annual growth rate of population in India according to 2001 census in percentage?"
,"What are percentage of total forest area of India?"
,"what percentage of maruthi car sold in the united states?"
,"what percentage of Ultra Mac Book  is sold compared to the iPhone in US?"
,"What percentage of alcohol consumption is there in Goa (India)?"
,"what percentage of pork in sold in UK compared to USA?"
,"what percentage of LED TV sold in the United States?"
,"What percent of Samsung smartphones are sold in UK compared to iphones?"
,"What percent of profit is in fruit business?"
,"What percent of profit is expected to be earned in food business?"
,"what is the average percentage of a average student in college by survey?"
,"What does a bowling ball weigh?"
,"What does a piece of paper weigh?"
,"What does a paper clip weigh?"
,"What does a elastic band weigh?"
,"What does a poland spring bottle weigh?"
,"What does a paper weight have to weigh?"
,"What does a roll of scotch tape weigh?"
,"What does a business card weigh?"
,"Can being overweight lead to health problems?"
,"How do I know if I am obese?"
,"What steps should I take to lose weight?"
,"Why do you want to work for Weight Watchers?"
,"What personal experience do you have with weight issues or struggling with your weight."
,"Why are you overweight?"
,"Why do you want to lose weight?"
,"What would happen if you never lost weight?"
,"How many pounds are in a kilogram?"
,"How much does one gallon of water weigh?"
,"How much does one cubic foot of platinum weigh?"
,"How many pounds are in a ton?"
,"How much does sea water weigh per cubic foot?"
,"How i know your lbs your weight is 70kg?"
,"How many pounds are there in one kilo?"
,"How much is 4 ounces?"
